xDate,xHour,REGION,MICRO_CLUSTER,Subscluster,CLUSTER2b,site_id,BSC_ID,BCF_ID,BTS_ID,CELL_ID,BAND,tch_avail,TBF_DROP,CSSR,gsm_data_total_traffic_DL,Drop_Call_Rate_2,TCH_Traffic_trf_24c,HOSR,TASR,SDCCH_DROP,DLQUAL0_5,ULQUAL0_5,Date_hour,id
2021-04-16 00:00:00,0 days 01:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.0,,14.68,,0.0,,,0.0,,,2021-04-16 01:00:00,44353
2021-04-16 00:00:00,0 days 02:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,-0.04,,753.83,,0.0,,,0.0,,,2021-04-16 02:00:00,44351
2021-04-16 00:00:00,0 days 02:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,84.62,1.01,0.0,0.03,,100.0,15.38,100.0,100.0,2021-04-16 02:00:00,44352
2021-04-16 00:00:00,0 days 02:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.75,100.0,418.84,0.0,0.01,,100.0,0.0,,,2021-04-16 02:00:00,44353
2021-04-16 00:00:00,0 days 03:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.11,,704.16,,0.0,,,0.0,,,2021-04-16 03:00:00,44351
2021-04-16 00:00:00,0 days 03:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,100.0,40.84,0.0,0.07,,100.0,0.0,97.52,100.0,2021-04-16 03:00:00,44352
2021-04-16 00:00:00,0 days 03:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.0,100.0,6.12,0.0,0.02,,100.0,0.0,100.0,100.0,2021-04-16 03:00:00,44353
2021-04-16 00:00:00,0 days 04:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,87.5,745.31,,0.01,100.0,100.0,12.5,100.0,100.0,2021-04-16 04:00:00,44351
2021-04-16 00:00:00,0 days 04:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,,0.72,,0.0,,,11.11,,,2021-04-16 04:00:00,44352
2021-04-16 00:00:00,0 days 04:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.67,100.0,12.5,0.0,0.33,,100.0,0.0,100.0,99.41,2021-04-16 04:00:00,44353
2021-04-16 00:00:00,0 days 05:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.06,100.0,1090.65,0.0,0.03,,100.0,0.0,100.0,100.0,2021-04-16 05:00:00,44351
2021-04-16 00:00:00,0 days 05:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,94.59,698.88,0.0,0.09,100.0,100.0,5.41,99.72,100.0,2021-04-16 05:00:00,44352
